Sero	age	poptype	mean_output	lower_bound	upper_bound
DENV1	1	All	3.988	3.135	4.664
DENV1	1	Seronegative	8.637	6.769	10.44
DENV1	1	Seropositive	2.947	2.168	3.699
DENV1	2	All	7.693	6.011	9.076
DENV1	2	Seronegative	13.655	10.615	16.147
DENV1	2	Seropositive	6.357	4.667	7.889
DENV1	3	All	7.293	5.665	8.653
DENV1	3	Seronegative	10.638	8.352	12.71
DENV1	3	Seropositive	6.543	4.751	8.18
DENV1	4	All	10.11	7.8	12.068
DENV1	4	Seronegative	11.521	9.127	13.811
DENV1	4	Seropositive	9.793	7.079	12.267
DENV1	5	All	12.518	9.311	15.03
DENV1	5	Seronegative	10.719	8.409	12.936
DENV1	5	Seropositive	12.921	9.266	16.127
DENV1	6	All	12.31	9.326	15.07
DENV1	6	Seronegative	7.151	5.502	8.699
DENV1	6	Seropositive	13.467	9.721	16.905
DENV1	7	All	7.316	5.5	9.18
DENV1	7	Seronegative	3.042	2.319	3.725
DENV1	7	Seropositive	8.273	5.974	10.508
DENV2	1	All	4.586	4.044	5.042
DENV2	1	Seronegative	9.374	8.077	10.222
DENV2	1	Seropositive	3.39	2.878	3.886
DENV2	2	All	8.701	7.654	9.52
DENV2	2	Seronegative	14.43	12.561	15.671
DENV2	2	Seropositive	7.27	6.181	8.223
DENV2	3	All	8.519	7.389	9.388
DENV2	3	Seronegative	11.561	9.954	12.645
DENV2	3	Seropositive	7.759	6.42	8.857
DENV2	4	All	11.799	10.21	13.117
DENV2	4	Seronegative	12.571	10.949	13.84
DENV2	4	Seropositive	11.606	9.733	13.282
DENV2	5	All	14.73	12.555	16.31
DENV2	5	Seronegative	11.821	10.221	13.132
DENV2	5	Seropositive	15.457	12.865	17.539
DENV2	6	All	14.585	12.626	16.409
DENV2	6	Seronegative	8.033	6.844	9.081
DENV2	6	Seropositive	16.222	13.686	18.459
DENV2	7	All	8.918	7.641	10.25
DENV2	7	Seronegative	3.518	2.96	4.016
DENV2	7	Seropositive	10.267	8.63	11.892
DENV3	1	All	3.359	0.831	5.573
DENV3	1	Seronegative	-6.134	-24.19	8.192
DENV3	1	Seropositive	4.797	4.007	5.576
DENV3	2	All	6.192	2.133	9.49
DENV3	2	Seronegative	-10.089	-38.512	12.309
DENV3	2	Seropositive	8.659	7.364	9.908
DENV3	3	All	6.65	3.315	9.275
DENV3	3	Seronegative	-7.572	-30.044	10.011
DENV3	3	Seropositive	8.806	7.45	10.226
DENV3	4	All	9.597	5.729	12.564
DENV3	4	Seronegative	-8.173	-31.793	10.911
DENV3	4	Seropositive	12.29	10.3	14.218
DENV3	5	All	12.47	8.573	15.634
DENV3	5	Seronegative	-7.516	-29.688	10.331
DENV3	5	Seropositive	15.498	12.94	17.817
DENV3	6	All	12.827	9.406	15.529
DENV3	6	Seronegative	-4.9	-19.713	7.09
DENV3	6	Seropositive	15.513	13.059	17.974
DENV3	7	All	7.987	6.074	9.46
DENV3	7	Seronegative	-2.021	-8.254	3.094
DENV3	7	Seropositive	9.503	7.911	11.114
DENV4	1	All	2.882	-0.032	5.278
DENV4	1	Seronegative	-10.876	-33.014	7.576
DENV4	1	Seropositive	4.834	4.111	5.628
DENV4	2	All	5.408	0.826	9.131
DENV4	2	Seronegative	-17.62	-51.818	11.605
DENV4	2	Seropositive	8.677	7.204	10.2
DENV4	3	All	5.989	2.156	8.999
DENV4	3	Seronegative	-13.358	-39.709	9.262
DENV4	3	Seropositive	8.735	7.134	10.328
DENV4	4	All	8.746	4.277	12.276
DENV4	4	Seronegative	-14.459	-43.417	10.064
DENV4	4	Seropositive	12.04	9.992	14.178
DENV4	5	All	11.501	7.049	15.089
DENV4	5	Seronegative	-13.317	-40.185	9.457
DENV4	5	Seropositive	15.023	12.255	17.855
DENV4	6	All	11.938	8.824	14.943
DENV4	6	Seronegative	-8.736	-27.259	6.422
DENV4	6	Seropositive	14.872	12.301	17.461
DENV4	7	All	7.5	5.713	9.31
DENV4	7	Seronegative	-3.618	-11.661	2.836
DENV4	7	Seropositive	9.078	7.499	10.728
