Sero	age	poptype	mean_output	lower_bound	upper_bound
DENV1	1	All	4.369	3.415	5.141
DENV1	1	Seronegative	8.173	6.406	9.88
DENV1	1	Seropositive	3.517	2.592	4.411
DENV1	2	All	8.539	6.668	10.114
DENV1	2	Seronegative	12.47	9.695	14.746
DENV1	2	Seropositive	7.658	5.631	9.497
DENV1	3	All	8.139	6.287	9.733
DENV1	3	Seronegative	9.239	7.252	11.036
DENV1	3	Seropositive	7.892	5.739	9.858
DENV1	4	All	11.329	8.611	13.661
DENV1	4	Seronegative	9.121	7.223	10.94
DENV1	4	Seropositive	11.824	8.559	14.799
DENV1	5	All	13.956	10.298	16.989
DENV1	5	Seronegative	7.01	5.493	8.47
DENV1	5	Seropositive	15.513	11.14	19.344
DENV1	6	All	13.243	9.748	16.433
DENV1	6	Seronegative	3.362	2.577	4.104
DENV1	6	Seropositive	15.457	11.167	19.393
DENV1	7	All	7.579	5.544	9.591
DENV1	7	Seronegative	1.17	0.883	1.441
DENV1	7	Seropositive	9.015	6.513	11.448
DENV2	1	All	5.014	4.415	5.516
DENV2	1	Seronegative	8.905	7.671	9.713
DENV2	1	Seropositive	4.041	3.457	4.608
DENV2	2	All	9.66	8.501	10.582
DENV2	2	Seronegative	13.222	11.508	14.36
DENV2	2	Seropositive	8.77	7.499	9.881
DENV2	3	All	9.506	8.172	10.491
DENV2	3	Seronegative	10.094	8.685	11.044
DENV2	3	Seropositive	9.359	7.782	10.651
DENV2	4	All	13.219	11.403	14.716
DENV2	4	Seronegative	10.048	8.741	11.069
DENV2	4	Seropositive	14.011	11.808	15.975
DENV2	5	All	16.421	13.899	18.289
DENV2	5	Seronegative	7.894	6.806	8.797
DENV2	5	Seropositive	18.551	15.513	20.983
DENV2	6	All	15.721	13.441	17.772
DENV2	6	Seronegative	3.992	3.375	4.546
DENV2	6	Seropositive	18.651	15.783	21.174
DENV2	7	All	9.27	7.856	10.705
DENV2	7	Seronegative	1.445	1.202	1.668
DENV2	7	Seropositive	11.224	9.449	12.988
DENV3	1	All	3.704	1.309	5.814
DENV3	1	Seronegative	-5.774	-22.693	7.646
DENV3	1	Seropositive	5.14	4.3	5.973
DENV3	2	All	6.991	3.245	9.997
DENV3	2	Seronegative	-9.173	-34.864	11.065
DENV3	2	Seropositive	9.44	8.034	10.79
DENV3	3	All	7.539	4.562	9.896
DENV3	3	Seronegative	-6.528	-25.775	8.525
DENV3	3	Seropositive	9.671	8.185	11.215
DENV3	4	All	10.929	7.595	13.648
DENV3	4	Seronegative	-6.393	-24.822	8.491
DENV3	4	Seropositive	13.554	11.383	15.669
DENV3	5	All	14.154	10.705	16.992
DENV3	5	Seronegative	-4.782	-18.979	6.66
DENV3	5	Seropositive	17.024	14.217	19.538
DENV3	6	All	14.081	11.232	16.37
DENV3	6	Seronegative	-2.148	-8.956	3.352
DENV3	6	Seropositive	16.54	13.88	19.203
DENV3	7	All	8.435	6.791	9.877
DENV3	7	Seronegative	-0.716	-3.057	1.208
DENV3	7	Seropositive	9.821	8.154	11.505
DENV4	1	All	3.318	0.547	5.557
DENV4	1	Seronegative	-10.232	-30.986	7.068
DENV4	1	Seropositive	5.241	4.44	6.105
DENV4	2	All	6.388	2.05	9.847
DENV4	2	Seronegative	-16.013	-46.933	10.41
DENV4	2	Seropositive	9.568	7.917	11.268
DENV4	3	All	7.034	3.497	9.832
DENV4	3	Seronegative	-11.512	-34.083	7.867
DENV4	3	Seropositive	9.666	7.924	11.442
DENV4	4	All	10.291	6.57	13.555
DENV4	4	Seronegative	-11.317	-33.906	7.82
DENV4	4	Seropositive	13.358	11.032	15.724
DENV4	5	All	13.458	10.122	16.569
DENV4	5	Seronegative	-8.502	-25.744	6.105
DENV4	5	Seropositive	16.576	13.527	19.737
DENV4	6	All	13.453	10.543	16.334
DENV4	6	Seronegative	-3.867	-12.312	3.065
DENV4	6	Seropositive	15.911	13.126	18.69
DENV4	7	All	8.072	6.464	9.678
DENV4	7	Seronegative	-1.298	-4.318	1.123
DENV4	7	Seropositive	9.402	7.737	11.117
