Sero	age	VaccineCoverage	mean_output	lower_bound	upper_bound
DENV1	1	20% Coverage	1.001	0.787	1.171
DENV1	1	50% Coverage	2.498	1.964	2.922
DENV1	1	80% Coverage	3.988	3.135	4.664
DENV1	2	20% Coverage	1.924	1.504	2.271
DENV1	2	50% Coverage	4.81	3.758	5.675
DENV1	2	80% Coverage	7.693	6.011	9.076
DENV1	3	20% Coverage	1.824	1.417	2.164
DENV1	3	50% Coverage	4.559	3.542	5.409
DENV1	3	80% Coverage	7.293	5.665	8.653
DENV1	4	20% Coverage	2.529	1.951	3.02
DENV1	4	50% Coverage	6.321	4.876	7.546
DENV1	4	80% Coverage	10.11	7.8	12.068
DENV1	5	20% Coverage	3.13	2.327	3.758
DENV1	5	50% Coverage	7.824	5.819	9.394
DENV1	5	80% Coverage	12.518	9.311	15.03
DENV1	6	20% Coverage	3.072	2.327	3.762
DENV1	6	50% Coverage	7.687	5.823	9.411
DENV1	6	80% Coverage	12.31	9.326	15.07
DENV1	7	20% Coverage	1.821	1.368	2.284
DENV1	7	50% Coverage	4.561	3.429	5.723
DENV1	7	80% Coverage	7.316	5.5	9.18
DENV2	1	20% Coverage	1.153	1.016	1.268
DENV2	1	50% Coverage	2.875	2.534	3.162
DENV2	1	80% Coverage	4.586	4.044	5.042
DENV2	2	20% Coverage	2.177	1.915	2.382
DENV2	2	50% Coverage	5.44	4.786	5.953
DENV2	2	80% Coverage	8.701	7.654	9.52
DENV2	3	20% Coverage	2.131	1.848	2.348
DENV2	3	50% Coverage	5.326	4.619	5.869
DENV2	3	80% Coverage	8.519	7.389	9.388
DENV2	4	20% Coverage	2.952	2.554	3.282
DENV2	4	50% Coverage	7.377	6.383	8.202
DENV2	4	80% Coverage	11.799	10.21	13.117
DENV2	5	20% Coverage	3.683	3.139	4.078
DENV2	5	50% Coverage	9.206	7.847	10.194
DENV2	5	80% Coverage	14.73	12.555	16.31
DENV2	6	20% Coverage	3.639	3.15	4.094
DENV2	6	50% Coverage	9.106	7.882	10.245
DENV2	6	80% Coverage	14.585	12.626	16.409
DENV2	7	20% Coverage	2.217	1.9	2.548
DENV2	7	50% Coverage	5.557	4.762	6.387
DENV2	7	80% Coverage	8.918	7.641	10.25
DENV3	1	20% Coverage	0.844	0.214	1.397
DENV3	1	50% Coverage	2.105	0.527	3.488
DENV3	1	80% Coverage	3.359	0.831	5.573
DENV3	2	20% Coverage	1.549	0.535	2.373
DENV3	2	50% Coverage	3.872	1.336	5.932
DENV3	2	80% Coverage	6.192	2.133	9.49
DENV3	3	20% Coverage	1.663	0.83	2.319
DENV3	3	50% Coverage	4.158	2.073	5.797
DENV3	3	80% Coverage	6.65	3.315	9.275
DENV3	4	20% Coverage	2.401	1.436	3.141
DENV3	4	50% Coverage	6.001	3.586	7.853
DENV3	4	80% Coverage	9.597	5.729	12.564
DENV3	5	20% Coverage	3.117	2.145	3.907
DENV3	5	50% Coverage	7.794	5.361	9.769
DENV3	5	80% Coverage	12.47	8.573	15.634
DENV3	6	20% Coverage	3.199	2.348	3.871
DENV3	6	50% Coverage	8.007	5.875	9.692
DENV3	6	80% Coverage	12.827	9.406	15.529
DENV3	7	20% Coverage	1.985	1.51	2.35
DENV3	7	50% Coverage	4.976	3.785	5.893
DENV3	7	80% Coverage	7.987	6.074	9.46
DENV4	1	20% Coverage	0.726	-0.001	1.323
DENV4	1	50% Coverage	1.809	-0.01	3.304
DENV4	1	80% Coverage	2.882	-0.032	5.278
DENV4	2	20% Coverage	1.353	0.209	2.283
DENV4	2	50% Coverage	3.382	0.519	5.708
DENV4	2	80% Coverage	5.408	0.826	9.131
DENV4	3	20% Coverage	1.498	0.54	2.25
DENV4	3	50% Coverage	3.744	1.349	5.625
DENV4	3	80% Coverage	5.989	2.156	8.999
DENV4	4	20% Coverage	2.188	1.073	3.069
DENV4	4	50% Coverage	5.469	2.679	7.673
DENV4	4	80% Coverage	8.746	4.277	12.276
DENV4	5	20% Coverage	2.875	1.766	3.771
DENV4	5	50% Coverage	7.189	4.412	9.429
DENV4	5	80% Coverage	11.501	7.049	15.089
DENV4	6	20% Coverage	2.977	2.205	3.725
DENV4	6	50% Coverage	7.452	5.514	9.325
DENV4	6	80% Coverage	11.938	8.824	14.943
DENV4	7	20% Coverage	1.863	1.42	2.313
DENV4	7	50% Coverage	4.672	3.56	5.8
DENV4	7	80% Coverage	7.5	5.713	9.31
