Sero	age	efficacy_type	mean_output	lower_bound	upper_bound
DENV1	1	With efficacy against infection	11.918	-6.552	29.176
DENV1	1	Without efficacy against infection	3.988	3.135	4.664
DENV1	2	With efficacy against infection	20.087	-2.778	40.237
DENV1	2	Without efficacy against infection	7.693	6.011	9.076
DENV1	3	With efficacy against infection	19.516	0.778	35.979
DENV1	3	Without efficacy against infection	7.293	5.665	8.653
DENV1	4	With efficacy against infection	24.102	6.922	38.646
DENV1	4	Without efficacy against infection	10.11	7.8	12.068
DENV1	5	With efficacy against infection	27.096	13.19	38.641
DENV1	5	Without efficacy against infection	12.518	9.311	15.03
DENV1	6	With efficacy against infection	24.901	16.316	32.367
DENV1	6	Without efficacy against infection	12.31	9.326	15.07
DENV1	7	With efficacy against infection	15.043	10.901	18.736
DENV1	7	Without efficacy against infection	7.316	5.5	9.18
DENV2	1	With efficacy against infection	29.516	-27.889	59.367
DENV2	1	Without efficacy against infection	4.586	4.044	5.042
DENV2	2	With efficacy against infection	41.4	-19.062	66.86
DENV2	2	Without efficacy against infection	8.701	7.654	9.52
DENV2	3	With efficacy against infection	42.224	-8.412	63.596
DENV2	3	Without efficacy against infection	8.519	7.389	9.388
DENV2	4	With efficacy against infection	48.392	7.56	64.893
DENV2	4	Without efficacy against infection	11.799	10.21	13.117
DENV2	5	With efficacy against infection	52.307	23.971	64.069
DENV2	5	Without efficacy against infection	14.73	12.555	16.31
DENV2	6	With efficacy against infection	50.699	33.382	59.081
DENV2	6	Without efficacy against infection	14.585	12.626	16.409
DENV2	7	With efficacy against infection	37.547	25.998	45.163
DENV2	7	Without efficacy against infection	8.918	7.641	10.25
DENV3	1	With efficacy against infection	7.05	3.666	10.261
DENV3	1	Without efficacy against infection	3.359	0.831	5.573
DENV3	2	With efficacy against infection	11.683	6.223	16.915
DENV3	2	Without efficacy against infection	6.192	2.133	9.49
DENV3	3	With efficacy against infection	11.699	7.282	16.033
DENV3	3	Without efficacy against infection	6.65	3.315	9.275
DENV3	4	With efficacy against infection	14.759	10.064	19.607
DENV3	4	Without efficacy against infection	9.597	5.729	12.564
DENV3	5	With efficacy against infection	17.201	12.746	21.976
DENV3	5	Without efficacy against infection	12.47	8.573	15.634
DENV3	6	With efficacy against infection	16.058	12.203	19.798
DENV3	6	Without efficacy against infection	12.827	9.406	15.529
DENV3	7	With efficacy against infection	9.748	7.719	11.791
DENV3	7	Without efficacy against infection	7.987	6.074	9.46
DENV4	1	With efficacy against infection	8.073	3.533	15.29
DENV4	1	Without efficacy against infection	2.882	-0.032	5.278
DENV4	2	With efficacy against infection	13.971	6.241	27.489
DENV4	2	Without efficacy against infection	5.408	0.826	9.131
DENV4	3	With efficacy against infection	13.344	7.04	22.749
DENV4	3	Without efficacy against infection	5.989	2.156	8.999
DENV4	4	With efficacy against infection	16.37	10.045	25.437
DENV4	4	Without efficacy against infection	8.746	4.277	12.276
DENV4	5	With efficacy against infection	18.498	12.967	25.714
DENV4	5	Without efficacy against infection	11.501	7.049	15.089
DENV4	6	With efficacy against infection	16.755	13.004	21.148
DENV4	6	Without efficacy against infection	11.938	8.824	14.943
DENV4	7	With efficacy against infection	9.924	8.088	12.206
DENV4	7	Without efficacy against infection	7.5	5.713	9.31
