Sero	age	poptype	mean_output	lower_bound	upper_bound
DENV1	1	All	3.988	3.135	4.664
DENV1	1	Seronegative	8.637	6.769	10.44
DENV1	1	Seropositive	2.947	2.168	3.699
DENV1	2	All	7.693	6.011	9.076
DENV1	2	Seronegative	13.655	10.615	16.147
DENV1	2	Seropositive	6.357	4.667	7.889
DENV1	3	All	25.243	19.473	30.064
DENV1	3	Seronegative	27.575	21.903	32.889
DENV1	3	Seropositive	24.721	18	30.931
DENV1	4	All	41.373	32.03	49.509
DENV1	4	Seronegative	35.614	28.151	42.469
DENV1	4	Seropositive	42.663	31.26	53.008
DENV1	5	All	36.15	27.807	43.524
DENV1	5	Seronegative	27.494	21.737	32.901
DENV1	5	Seropositive	38.089	27.869	47.251
DENV1	6	All	29.019	22.147	35.136
DENV1	6	Seronegative	18.882	14.801	22.726
DENV1	6	Seropositive	31.291	22.834	38.905
DENV1	7	All	19.789	15.073	24.281
DENV1	7	Seronegative	10.265	7.922	12.452
DENV1	7	Seropositive	21.923	15.976	27.386
DENV2	1	All	4.586	4.044	5.042
DENV2	1	Seronegative	9.374	8.077	10.222
DENV2	1	Seropositive	3.39	2.878	3.886
DENV2	2	All	8.701	7.654	9.52
DENV2	2	Seronegative	14.43	12.561	15.671
DENV2	2	Seropositive	7.27	6.181	8.223
DENV2	3	All	28.392	24.881	31.131
DENV2	3	Seronegative	28.989	25.387	31.531
DENV2	3	Seropositive	28.242	24.077	31.747
DENV2	4	All	46.043	40.717	50.453
DENV2	4	Seronegative	37.165	32.536	40.412
DENV2	4	Seropositive	48.26	41.63	53.966
DENV2	5	All	40.441	35.575	44.462
DENV2	5	Seronegative	28.932	25.248	31.537
DENV2	5	Seropositive	43.316	37.301	48.404
DENV2	6	All	32.787	28.676	36.098
DENV2	6	Seronegative	20.134	17.457	22.225
DENV2	6	Seropositive	35.948	30.873	40.108
DENV2	7	All	22.758	19.924	25.469
DENV2	7	Seronegative	11.22	9.613	12.58
DENV2	7	Seropositive	25.641	21.955	28.964
DENV3	1	All	3.359	0.831	5.573
DENV3	1	Seronegative	-6.134	-24.19	8.192
DENV3	1	Seropositive	4.797	4.007	5.576
DENV3	2	All	6.192	2.133	9.49
DENV3	2	Seronegative	-10.089	-38.512	12.309
DENV3	2	Seropositive	8.659	7.364	9.908
DENV3	3	All	22.307	13.063	29.35
DENV3	3	Seronegative	-20.462	-77.402	24.783
DENV3	3	Seropositive	28.788	24.205	33.152
DENV3	4	All	37.249	24.187	47.382
DENV3	4	Seronegative	-26.64	-100.05	31.79
DENV3	4	Seropositive	46.929	39.582	54.225
DENV3	5	All	33.416	22.778	41.821
DENV3	5	Seronegative	-20.378	-76.969	24.849
DENV3	5	Seropositive	41.567	35.099	48.055
DENV3	6	All	27.773	19.698	34.187
DENV3	6	Seronegative	-13.777	-52.884	17.477
DENV3	6	Seropositive	34.068	28.786	39.39
DENV3	7	All	19.83	14.626	23.864
DENV3	7	Seronegative	-7.282	-28.42	9.831
DENV3	7	Seropositive	23.937	20.073	27.812
DENV4	1	All	2.882	-0.032	5.278
DENV4	1	Seronegative	-10.876	-33.014	7.576
DENV4	1	Seropositive	4.834	4.111	5.628
DENV4	2	All	5.408	0.826	9.131
DENV4	2	Seronegative	-17.62	-51.818	11.605
DENV4	2	Seropositive	8.677	7.204	10.2
DENV4	3	All	20.13	9.668	28.407
DENV4	3	Seronegative	-35.789	-104.373	22.583
DENV4	3	Seropositive	28.067	23.173	32.969
DENV4	4	All	33.872	19.923	45.594
DENV4	4	Seronegative	-46.551	-136.127	28.725
DENV4	4	Seropositive	45.287	37.598	53.102
DENV4	5	All	30.575	19.601	40.356
DENV4	5	Seronegative	-35.699	-105.251	22.475
DENV4	5	Seropositive	39.982	33.167	46.915
DENV4	6	All	25.579	17.81	32.917
DENV4	6	Seronegative	-24.235	-72.425	15.707
DENV4	6	Seropositive	32.649	27.048	38.267
DENV4	7	All	18.413	13.769	23.039
DENV4	7	Seronegative	-12.884	-39.426	8.829
DENV4	7	Seropositive	22.855	18.867	26.84
