Sero	age	VaccineCoverage	mean_output	lower_bound	upper_bound
DENV1	1	20% Coverage	1.237	1.031	1.425
DENV1	1	50% Coverage	3.092	2.574	3.561
DENV1	1	80% Coverage	4.943	4.115	5.695
DENV1	2	20% Coverage	2.324	1.974	2.631
DENV1	2	50% Coverage	5.81	4.935	6.576
DENV1	2	80% Coverage	9.296	7.896	10.522
DENV1	3	20% Coverage	1.872	1.618	2.122
DENV1	3	50% Coverage	4.68	4.044	5.306
DENV1	3	80% Coverage	7.488	6.47	8.49
DENV1	4	20% Coverage	2.021	1.798	2.274
DENV1	4	50% Coverage	5.054	4.495	5.686
DENV1	4	80% Coverage	8.088	7.192	9.099
DENV1	5	20% Coverage	2.039	1.798	2.282
DENV1	5	50% Coverage	5.101	4.496	5.708
DENV1	5	80% Coverage	8.166	7.197	9.137
DENV1	6	20% Coverage	1.847	1.612	2.055
DENV1	6	50% Coverage	4.625	4.034	5.144
DENV1	6	80% Coverage	7.414	6.465	8.244
DENV1	7	20% Coverage	1.06	0.92	1.187
DENV1	7	50% Coverage	2.656	2.306	2.975
DENV1	7	80% Coverage	4.262	3.7	4.774
DENV2	1	20% Coverage	1.606	1.448	1.722
DENV2	1	50% Coverage	4.012	3.619	4.301
DENV2	1	80% Coverage	6.414	5.785	6.877
DENV2	2	20% Coverage	2.909	2.691	3.086
DENV2	2	50% Coverage	7.273	6.728	7.716
DENV2	2	80% Coverage	11.638	10.765	12.347
DENV2	3	20% Coverage	2.355	2.208	2.53
DENV2	3	50% Coverage	5.889	5.519	6.325
DENV2	3	80% Coverage	9.424	8.831	10.122
DENV2	4	20% Coverage	2.492	2.307	2.655
DENV2	4	50% Coverage	6.233	5.77	6.64
DENV2	4	80% Coverage	9.977	9.236	10.63
DENV2	5	20% Coverage	2.493	2.312	2.646
DENV2	5	50% Coverage	6.237	5.784	6.619
DENV2	5	80% Coverage	9.987	9.261	10.599
DENV2	6	20% Coverage	2.229	2.058	2.366
DENV2	6	50% Coverage	5.583	5.155	5.927
DENV2	6	80% Coverage	8.951	8.264	9.503
DENV2	7	20% Coverage	1.285	1.177	1.377
DENV2	7	50% Coverage	3.224	2.951	3.455
DENV2	7	80% Coverage	5.179	4.74	5.548
DENV3	1	20% Coverage	0.89	0.431	1.32
DENV3	1	50% Coverage	2.222	1.074	3.299
DENV3	1	80% Coverage	3.552	1.712	5.277
DENV3	2	20% Coverage	1.592	0.841	2.337
DENV3	2	50% Coverage	3.979	2.1	5.842
DENV3	2	80% Coverage	6.365	3.358	9.348
DENV3	3	20% Coverage	1.442	0.891	1.973
DENV3	3	50% Coverage	3.604	2.227	4.932
DENV3	3	80% Coverage	5.767	3.562	7.892
DENV3	4	20% Coverage	1.649	1.133	2.144
DENV3	4	50% Coverage	4.124	2.832	5.363
DENV3	4	80% Coverage	6.599	4.529	8.585
DENV3	5	20% Coverage	1.803	1.368	2.239
DENV3	5	50% Coverage	4.51	3.42	5.602
DENV3	5	80% Coverage	7.219	5.471	8.969
DENV3	6	20% Coverage	1.783	1.453	2.11
DENV3	6	50% Coverage	4.465	3.637	5.285
DENV3	6	80% Coverage	7.156	5.828	8.474
DENV3	7	20% Coverage	1.085	0.914	1.27
DENV3	7	50% Coverage	2.723	2.293	3.186
DENV3	7	80% Coverage	4.374	3.681	5.119
DENV4	1	20% Coverage	-0.513	-2.701	1.597
DENV4	1	50% Coverage	-1.289	-6.766	3.992
DENV4	1	80% Coverage	-2.076	-10.855	6.385
DENV4	2	20% Coverage	-0.745	-4.308	2.802
DENV4	2	50% Coverage	-1.866	-10.776	7.005
DENV4	2	80% Coverage	-2.991	-17.254	11.209
DENV4	3	20% Coverage	-0.21	-2.774	2.353
DENV4	3	50% Coverage	-0.528	-6.939	5.884
DENV4	3	80% Coverage	-0.849	-11.113	9.415
DENV4	4	20% Coverage	0.212	-2.122	2.549
DENV4	4	50% Coverage	0.524	-5.32	6.376
DENV4	4	80% Coverage	0.827	-8.54	10.206
DENV4	5	20% Coverage	0.739	-1.185	2.613
DENV4	5	50% Coverage	1.843	-2.977	6.536
DENV4	5	80% Coverage	2.938	-4.791	10.465
DENV4	6	20% Coverage	1.19	-0.112	2.407
DENV4	6	50% Coverage	2.975	-0.294	6.029
DENV4	6	80% Coverage	4.755	-0.501	9.668
DENV4	7	20% Coverage	0.881	0.319	1.448
DENV4	7	50% Coverage	2.207	0.793	3.632
DENV4	7	80% Coverage	3.535	1.259	5.834
