Sero	age	efficacy_type	mean_output	lower_bound	upper_bound
DENV1	1	With efficacy against infection	12.574	-5.238	28.892
DENV1	1	Without efficacy against infection	4.942	4.115	5.695
DENV1	2	With efficacy against infection	21.098	-0.759	39.946
DENV1	2	Without efficacy against infection	9.289	7.896	10.522
DENV1	3	With efficacy against infection	19.333	1.131	35.021
DENV1	3	Without efficacy against infection	7.518	6.47	8.49
DENV1	4	With efficacy against infection	21.985	5.112	35.859
DENV1	4	Without efficacy against infection	8.105	7.192	9.099
DENV1	5	With efficacy against infection	23.018	9.243	34.037
DENV1	5	Without efficacy against infection	8.143	7.197	9.137
DENV1	6	With efficacy against infection	20.267	11.863	27.073
DENV1	6	Without efficacy against infection	7.391	6.465	8.244
DENV1	7	With efficacy against infection	11.94	8.147	15.355
DENV1	7	Without efficacy against infection	4.253	3.7	4.774
DENV2	1	With efficacy against infection	29.437	-23.647	58.015
DENV2	1	Without efficacy against infection	6.411	5.785	6.877
DENV2	2	With efficacy against infection	41.69	-14.245	66.17
DENV2	2	Without efficacy against infection	11.566	10.765	12.347
DENV2	3	With efficacy against infection	40.989	-6.551	62.079
DENV2	3	Without efficacy against infection	9.406	8.831	10.122
DENV2	4	With efficacy against infection	45.377	5.42	62.347
DENV2	4	Without efficacy against infection	9.973	9.236	10.63
DENV2	5	With efficacy against infection	47.557	18.413	60.282
DENV2	5	Without efficacy against infection	9.989	9.261	10.599
DENV2	6	With efficacy against infection	45.122	27.106	54.16
DENV2	6	Without efficacy against infection	8.932	8.264	9.503
DENV2	7	With efficacy against infection	32.842	21.422	40.504
DENV2	7	Without efficacy against infection	5.185	4.74	5.548
DENV3	1	With efficacy against infection	6.963	4.229	10.291
DENV3	1	Without efficacy against infection	3.526	1.712	5.277
DENV3	2	With efficacy against infection	11.356	7.027	16.753
DENV3	2	Without efficacy against infection	6.306	3.358	9.348
DENV3	3	With efficacy against infection	10.388	6.987	14.448
DENV3	3	Without efficacy against infection	5.719	3.562	7.892
DENV3	4	With efficacy against infection	11.452	8.104	15.687
DENV3	4	Without efficacy against infection	6.565	4.529	8.585
DENV3	5	With efficacy against infection	11.809	8.789	15.05
DENV3	5	Without efficacy against infection	7.215	5.471	8.969
DENV3	6	With efficacy against infection	10.25	8.196	12.38
DENV3	6	Without efficacy against infection	7.102	5.828	8.474
DENV3	7	With efficacy against infection	6.056	5.041	7.073
DENV3	7	Without efficacy against infection	4.366	3.681	5.119
DENV4	1	With efficacy against infection	2.853	-5.661	13.069
DENV4	1	Without efficacy against infection	-1.649	-10.855	6.385
DENV4	2	With efficacy against infection	5.157	-9.205	23.178
DENV4	2	Without efficacy against infection	-2.185	-17.254	11.209
DENV4	3	With efficacy against infection	6.198	-4.44	19.243
DENV4	3	Without efficacy against infection	-0.274	-11.113	9.415
DENV4	4	With efficacy against infection	8.274	-1.498	20.744
DENV4	4	Without efficacy against infection	1.272	-8.54	10.206
DENV4	5	With efficacy against infection	9.785	1.65	20.173
DENV4	5	Without efficacy against infection	3.158	-4.791	10.465
DENV4	6	With efficacy against infection	9.318	4.186	15.355
DENV4	6	Without efficacy against infection	4.745	-0.501	9.668
DENV4	7	With efficacy against infection	5.823	3.663	8.42
DENV4	7	Without efficacy against infection	3.538	1.259	5.834
