Sero	age	poptype	mean_output	lower_bound	upper_bound
DENV1	1	All	4.942	4.115	5.695
DENV1	1	Seronegative	6.769	5.045	8.348
DENV1	1	Seropositive	3.152	2.745	3.631
DENV1	2	All	9.289	7.896	10.522
DENV1	2	Seronegative	11.462	8.743	13.717
DENV1	2	Seropositive	7.159	6.267	8.124
DENV1	3	All	20.137	17.842	22.518
DENV1	3	Seronegative	18.766	14.403	22.35
DENV1	3	Seropositive	21.479	18.808	24.435
DENV1	4	All	29.952	26.559	33.15
DENV1	4	Seronegative	23.827	18.307	28.359
DENV1	4	Seropositive	35.951	31.598	40.649
DENV1	5	All	24.15	21.422	26.792
DENV1	5	Seronegative	17.148	13.131	20.475
DENV1	5	Seropositive	31.007	27.205	35.03
DENV1	6	All	18.021	15.895	20.027
DENV1	6	Seronegative	11.129	8.447	13.341
DENV1	6	Seropositive	24.773	21.67	27.907
DENV1	7	All	11.715	10.275	13.05
DENV1	7	Seronegative	5.958	4.507	7.138
DENV1	7	Seropositive	17.354	15.139	19.565
DENV2	1	All	6.411	5.785	6.877
DENV2	1	Seronegative	8.99	7.906	9.857
DENV2	1	Seropositive	3.589	3.247	3.944
DENV2	2	All	11.566	10.765	12.347
DENV2	2	Seronegative	14.815	13.137	16.102
DENV2	2	Seropositive	8.012	7.382	8.694
DENV2	3	All	24.046	22.618	25.514
DENV2	3	Seronegative	24.122	21.759	26.307
DENV2	3	Seropositive	23.963	22.188	25.641
DENV2	4	All	34.927	32.913	36.853
DENV2	4	Seronegative	30.487	27.511	33.162
DENV2	4	Seropositive	39.783	36.847	42.841
DENV2	5	All	28.052	26.291	29.521
DENV2	5	Seronegative	22.115	19.986	24.034
DENV2	5	Seropositive	34.545	31.976	37.275
DENV2	6	All	20.926	19.578	22.065
DENV2	6	Seronegative	14.526	13.123	15.831
DENV2	6	Seropositive	27.925	25.748	30.25
DENV2	7	All	13.667	12.708	14.564
DENV2	7	Seronegative	7.94	7.117	8.715
DENV2	7	Seropositive	19.93	18.31	21.616
DENV3	1	All	3.526	1.712	5.277
DENV3	1	Seronegative	1.469	-3.295	6.192
DENV3	1	Seropositive	4.874	4.418	5.392
DENV3	2	All	6.306	3.358	9.348
DENV3	2	Seronegative	2.062	-5.81	10.03
DENV3	2	Seropositive	9.086	8.175	9.971
DENV3	3	All	15.115	10.245	19.956
DENV3	3	Seronegative	3.2	-9.588	15.916
DENV3	3	Seropositive	22.919	20.74	25.235
DENV3	4	All	23.381	17.135	29.786
DENV3	4	Seronegative	3.932	-12.259	20.123
DENV3	4	Seropositive	36.121	32.456	39.988
DENV3	5	All	19.756	15.153	24.569
DENV3	5	Seronegative	2.989	-8.699	14.708
DENV3	5	Seropositive	30.739	27.584	34.037
DENV3	6	All	15.592	12.362	18.944
DENV3	6	Seronegative	2.118	-5.535	9.857
DENV3	6	Seropositive	24.418	21.858	27.037
DENV3	7	All	10.84	8.945	12.901
DENV3	7	Seronegative	1.277	-2.868	5.493
DENV3	7	Seropositive	17.105	15.241	18.972
DENV4	1	All	-1.649	-10.855	6.385
DENV4	1	Seronegative	-13.021	-37.643	7.827
DENV4	1	Seropositive	5.316	4.63	5.881
DENV4	2	All	-2.185	-17.254	11.209
DENV4	2	Seronegative	-22.158	-62.4	12.321
DENV4	2	Seropositive	10.047	8.536	11.207
DENV4	3	All	2.118	-21.665	23.82
DENV4	3	Seronegative	-36.329	-101.479	19.946
DENV4	3	Seropositive	25.665	21.429	29.193
DENV4	4	All	7.621	-22.36	35.197
DENV4	4	Seronegative	-46.226	-129.702	24.982
DENV4	4	Seropositive	40.601	33.482	46.446
DENV4	5	All	8.84	-12.76	28.797
DENV4	5	Seronegative	-33.209	-93.868	18.285
DENV4	5	Seropositive	34.595	28.468	39.82
DENV4	6	All	8.878	-5.143	21.94
DENV4	6	Seronegative	-21.504	-61.396	12.181
DENV4	6	Seropositive	27.486	22.562	31.848
DENV4	7	All	7.597	0.084	14.694
DENV4	7	Seronegative	-11.434	-33.13	6.785
DENV4	7	Seropositive	19.254	15.751	22.31
