Sero	age	poptype	mean_output	lower_bound	upper_bound
DENV1	1	All	5.07	4.26	5.808
DENV1	1	Seronegative	6.405	4.773	7.899
DENV1	1	Seropositive	3.761	3.276	4.331
DENV1	2	All	9.536	8.25	10.785
DENV1	2	Seronegative	10.467	7.985	12.525
DENV1	2	Seropositive	8.624	7.554	9.782
DENV1	3	All	7.692	6.755	8.633
DENV1	3	Seronegative	7.175	5.43	8.619
DENV1	3	Seropositive	8.199	7.265	9.393
DENV1	4	All	8.231	7.372	9.156
DENV1	4	Seronegative	6.003	4.53	7.229
DENV1	4	Seropositive	10.413	9.099	11.837
DENV1	5	All	8.103	7.205	9.109
DENV1	5	Seronegative	4.046	3.012	4.895
DENV1	5	Seropositive	12.076	10.474	13.756
DENV1	6	All	7.088	6.194	7.987
DENV1	6	Seronegative	1.886	1.381	2.303
DENV1	6	Seropositive	12.184	10.599	13.768
DENV1	7	All	4.007	3.455	4.529
DENV1	7	Seronegative	0.673	0.486	0.821
DENV1	7	Seropositive	7.273	6.283	8.233
DENV2	1	All	6.499	5.884	6.97
DENV2	1	Seronegative	8.533	7.503	9.36
DENV2	1	Seropositive	4.274	3.874	4.681
DENV2	2	All	11.702	10.928	12.446
DENV2	2	Seronegative	13.569	12.029	14.748
DENV2	2	Seropositive	9.66	8.907	10.47
DENV2	3	All	9.461	8.894	10.169
DENV2	3	Seronegative	9.486	8.425	10.444
DENV2	3	Seropositive	9.434	8.624	10.166
DENV2	4	All	9.908	9.191	10.516
DENV2	4	Seronegative	8	7.136	8.773
DENV2	4	Seropositive	11.994	10.964	12.873
DENV2	5	All	9.668	8.927	10.265
DENV2	5	Seronegative	5.525	4.888	6.001
DENV2	5	Seropositive	14.2	12.997	15.278
DENV2	6	All	8.317	7.679	8.928
DENV2	6	Seronegative	2.702	2.38	2.975
DENV2	6	Seropositive	14.458	13.223	15.754
DENV2	7	All	4.769	4.358	5.188
DENV2	7	Seronegative	0.995	0.851	1.118
DENV2	7	Seropositive	8.897	8.064	9.708
DENV3	1	All	3.689	1.994	5.314
DENV3	1	Seronegative	1.357	-3.107	5.782
DENV3	1	Seropositive	5.215	4.729	5.766
DENV3	2	All	6.695	4.004	9.422
DENV3	2	Seronegative	1.823	-5.293	9.024
DENV3	2	Seropositive	9.886	8.881	10.849
DENV3	3	All	6.107	4.213	7.962
DENV3	3	Seronegative	1.397	-3.514	6.226
DENV3	3	Seropositive	9.192	8.355	10.112
DENV3	4	All	7.028	5.353	8.66
DENV3	4	Seronegative	1.205	-2.894	5.28
DENV3	4	Seropositive	10.842	9.83	11.842
DENV3	5	All	7.651	6.383	9.013
DENV3	5	Seronegative	0.913	-1.873	3.713
DENV3	5	Seropositive	12.066	10.772	13.378
DENV3	6	All	7.314	6.393	8.336
DENV3	6	Seronegative	0.514	-0.805	1.853
DENV3	6	Seropositive	11.769	10.498	13.035
DENV3	7	All	4.386	3.892	4.982
DENV3	7	Seronegative	0.203	-0.273	0.692
DENV3	7	Seropositive	7.126	6.303	7.962
DENV4	1	All	-1.064	-9.643	6.47
DENV4	1	Seronegative	-12.237	-35.32	7.308
DENV4	1	Seropositive	5.778	5.006	6.411
DENV4	2	All	-0.734	-14.222	11.399
DENV4	2	Seronegative	-20.103	-56.494	11.067
DENV4	2	Seropositive	11.128	9.354	12.488
DENV4	3	All	1.227	-7.896	9.603
DENV4	3	Seronegative	-13.655	-38.387	7.873
DENV4	3	Seropositive	10.342	8.696	11.678
DENV4	4	All	3.274	-4.323	10.355
DENV4	4	Seronegative	-11.4	-32.374	6.701
DENV4	4	Seropositive	12.262	10.203	14.03
DENV4	5	All	5.598	0.518	10.415
DENV4	5	Seronegative	-7.604	-21.814	4.663
DENV4	5	Seropositive	13.686	11.35	15.749
DENV4	6	All	6.962	4.306	9.651
DENV4	6	Seronegative	-3.467	-10.293	2.328
DENV4	6	Seropositive	13.35	10.92	15.494
DENV4	7	All	4.537	3.302	5.78
DENV4	7	Seronegative	-1.222	-3.742	0.874
DENV4	7	Seropositive	8.065	6.651	9.361
