Sero	age	poptype	mean_output	lower_bound	upper_bound
DENV1	1	All	9.192	9.192	9.192
DENV1	1	Seronegative	7.31	7.31	7.31
DENV1	1	Seropositive	1.882	1.882	1.882
DENV1	2	All	12.839	12.839	12.839
DENV1	2	Seronegative	9.302	9.302	9.302
DENV1	2	Seropositive	3.537	3.537	3.537
DENV1	3	All	10.569	10.569	10.569
DENV1	3	Seronegative	6.944	6.944	6.944
DENV1	3	Seropositive	3.626	3.626	3.626
DENV1	4	All	10.439	10.439	10.439
DENV1	4	Seronegative	5.844	5.844	5.844
DENV1	4	Seropositive	4.595	4.595	4.595
DENV1	5	All	8.984	8.984	8.984
DENV1	5	Seronegative	3.859	3.859	3.859
DENV1	5	Seropositive	5.125	5.125	5.125
DENV1	6	All	5.941	5.941	5.941
DENV1	6	Seronegative	1.593	1.593	1.593
DENV1	6	Seropositive	4.348	4.348	4.348
DENV1	7	All	2.895	2.895	2.895
DENV1	7	Seronegative	0.505	0.505	0.505
DENV1	7	Seropositive	2.39	2.39	2.39
DENV2	1	All	6.536	6.536	6.536
DENV2	1	Seronegative	5.332	5.332	5.332
DENV2	1	Seropositive	1.204	1.204	1.204
DENV2	2	All	8.971	8.971	8.971
DENV2	2	Seronegative	6.679	6.679	6.679
DENV2	2	Seropositive	2.292	2.292	2.292
DENV2	3	All	7.497	7.497	7.497
DENV2	3	Seronegative	5.095	5.095	5.095
DENV2	3	Seropositive	2.402	2.402	2.402
DENV2	4	All	7.356	7.356	7.356
DENV2	4	Seronegative	4.328	4.328	4.328
DENV2	4	Seropositive	3.028	3.028	3.028
DENV2	5	All	6.324	6.324	6.324
DENV2	5	Seronegative	2.924	2.924	2.924
DENV2	5	Seropositive	3.4	3.4	3.4
DENV2	6	All	4.219	4.219	4.219
DENV2	6	Seronegative	1.282	1.282	1.282
DENV2	6	Seropositive	2.937	2.937	2.937
DENV2	7	All	2.111	2.111	2.111
DENV2	7	Seronegative	0.426	0.426	0.426
DENV2	7	Seropositive	1.685	1.685	1.685
DENV3	1	All	30.356	30.356	30.356
DENV3	1	Seronegative	20.699	20.699	20.699
DENV3	1	Seropositive	9.657	9.657	9.657
DENV3	2	All	41.613	41.613	41.613
DENV3	2	Seronegative	25.925	25.925	25.925
DENV3	2	Seropositive	15.688	15.688	15.688
DENV3	3	All	35.411	35.411	35.411
DENV3	3	Seronegative	19.631	19.631	19.631
DENV3	3	Seropositive	15.78	15.78	15.78
DENV3	4	All	35.35	35.35	35.35
DENV3	4	Seronegative	16.563	16.563	16.563
DENV3	4	Seropositive	18.786	18.786	18.786
DENV3	5	All	31.195	31.195	31.195
DENV3	5	Seronegative	11.094	11.094	11.094
DENV3	5	Seropositive	20.102	20.102	20.102
DENV3	6	All	21.458	21.458	21.458
DENV3	6	Seronegative	4.73	4.73	4.73
DENV3	6	Seropositive	16.728	16.728	16.728
DENV3	7	All	10.912	10.912	10.912
DENV3	7	Seronegative	1.556	1.556	1.556
DENV3	7	Seropositive	9.356	9.356	9.356
DENV4	1	All	31.236	31.236	31.236
DENV4	1	Seronegative	20.669	20.669	20.669
DENV4	1	Seropositive	10.567	10.567	10.567
DENV4	2	All	42.969	42.969	42.969
DENV4	2	Seronegative	25.782	25.782	25.782
DENV4	2	Seropositive	17.187	17.187	17.187
DENV4	3	All	36.641	36.641	36.641
DENV4	3	Seronegative	19.556	19.556	19.556
DENV4	3	Seropositive	17.084	17.084	17.084
DENV4	4	All	36.71	36.71	36.71
DENV4	4	Seronegative	16.529	16.529	16.529
DENV4	4	Seropositive	20.181	20.181	20.181
DENV4	5	All	32.51	32.51	32.51
DENV4	5	Seronegative	11.089	11.089	11.089
DENV4	5	Seropositive	21.421	21.421	21.421
DENV4	6	All	22.451	22.451	22.451
DENV4	6	Seronegative	4.769	4.769	4.769
DENV4	6	Seropositive	17.682	17.682	17.682
DENV4	7	All	11.421	11.421	11.421
DENV4	7	Seronegative	1.585	1.585	1.585
DENV4	7	Seropositive	9.836	9.836	9.836
